Index.1,province,year,overall overall,overall man,overall woman,0-4 overall,0-4 man,0-4 woman,5-9 overall,5-9 man,5-9 woman,10-14 overall,10-14 man,10-14 woman,15-19 overall,15-19 man,15-19 woman,20-24 overall,20-24 man,20-24 woman,25-29 overall,25-29 man,25-29 woman,30-34 overall,30-34 man,30-34 woman,35-39 overall,35-39 man,35-39 woman,40-44 overall,40-44 man,40-44 woman,45-49 overall,45-49 man,45-49 woman,50-54 overall,50-54 man,50-54 woman,55-59 overall,55-59 man,55-59 woman,60-64 overall,60-64 man,60-64 woman,65-69 overall,65-69 man,65-69 woman,70 and older overall,70 and older man,70 and older woman,70-74 overall,70-74 man,70-74 woman,75-79 overall,75-79 man,75-79 woman,80-84 overall,80-84 man,80-84 woman,85 and older overall,85 and older man,85 and older woman,pre-working age,working age,post-working age
34,ŚLĄSKIE,2004,4700771,2272055,2428716,200435,102649,97786,226111,116029,110082,286137,146218,139919,354474,180724,173750,400923,202252,198671,375308,189194,186114,326182,165034,161148,302104,152023,150081,337972,169110,168862,399765,196264,203501,379660,183031,196629,281232,133510,147722,225257,103352,121905,209303,93259,116044,395908,139406,256502,170861,70267,100594,117877,40942,76935,69934,19562,50372,37236,8635,28601,1067157,2906498,727116
35,LUBUSKIE,2004,1009168,489719,519449,47994,24568,23426,55521,28530,26991,68521,34945,33576,82672,41908,40764,91806,46651,45155,83032,42375,40657,69495,35351,34144,59689,30164,29525,68213,34002,34211,86947,43010,43937,82070,40018,42052,61810,29948,31862,34723,15403,19320,36583,15137,21446,80092,27709,52383,33247,12909,20338,25376,8424,16952,14814,4553,10261,6655,1823,4832,254708,618465,135995
36,WIELKOPOLSKIE,2004,3365283,1632761,1732522,168927,87163,81764,188585,96811,91774,232751,118996,113755,271546,138856,132690,302198,153566,148632,282066,142702,139364,242683,123098,119585,208467,104676,103791,223421,110953,112468,266549,131239,135310,252279,121553,130726,211106,99839,111267,117026,53173,63853,123956,53021,70935,273723,97115,176608,109721,43995,65726,83222,29791,53431,51946,15935,36011,28834,7394,21440,861809,2041942,461532
37,ZACHODNIOPOMORSKIE,2004,1694865,824652,870213,79441,41124,38317,90503,46265,44238,111907,57151,54756,131711,67440,64271,150970,77154,73816,137551,70087,67464,116489,59118,57371,100302,50830,49472,114468,57370,57098,148413,73055,75358,143577,69994,73583,106014,51535,54479,61385,28280,33105,64032,26787,37245,138102,48462,89640,58627,22989,35638,44445,15132,29313,24313,7446,16867,10717,2895,7822,413562,1046064,235239
38,DOLNOŚLĄSKIE,2004,2893055,1389321,1503734,123492,63491,60001,141763,72710,69053,176504,90161,86343,215904,110189,105715,259024,131426,127598,238488,121065,117423,198807,100895,97912,167925,84970,82955,193227,95832,97395,250386,122949,127437,249905,120470,129435,183887,87381,96506,107886,47947,59939,118050,48165,69885,267807,91670,176137,109100,41688,67412,87543,28614,58929,50353,15672,34681,20811,5696,15115,657663,1789596,445796
39,OPOLSKIE,2004,1051531,509514,542017,43560,22508,21052,53532,27354,26178,68045,34664,33381,84250,43147,41103,89515,44589,44926,81905,40870,41035,74177,37218,36959,72395,36740,35655,79151,40521,38630,84342,42419,41923,78888,38558,40330,57738,27666,30072,44127,20327,23800,49432,21422,28010,90474,31511,58963,40074,16342,23732,27373,9064,18309,15514,4340,11174,7513,1765,5748,249387,638438,163706
40,KUJAWSKO-POMORSKIE,2004,2068258,998948,1069310,101098,51944,49154,115422,59144,56278,143080,72841,70239,164732,84402,80330,182006,91978,90028,165120,83866,81254,144069,72523,71546,127617,63573,64044,139970,69288,70682,169085,83186,85899,159119,76309,82810,125292,58756,66536,79254,35828,43426,79452,33970,45482,172942,61340,111602,71061,28677,42384,52746,18730,34016,31392,9499,21893,17743,4434,13309,524332,1248106,295820
41,POMORSKIE,2004,2194041,1067499,1126542,113896,58343,55553,124697,63956,60741,150442,77395,73047,174925,89142,85783,192332,97291,95041,181323,90896,90427,158330,79984,78346,136569,69282,67287,146986,73655,73331,175324,86194,89130,170325,82306,88019,128062,61224,66838,83067,38383,44684,84419,36875,47544,173344,62573,110771,72765,30152,42613,52636,18896,33740,31125,9284,21841,16818,4241,12577,563960,1327634,302447
42,WARMIŃSKO-MAZURSKIE,2004,1428714,697620,731094,72925,37510,35415,83554,42617,40937,104811,53599,51212,123141,62888,60253,130618,66756,63862,110748,57086,53662,96622,49450,47172,88801,44684,44117,102222,51437,50785,119205,59259,59946,107334,52457,54877,76437,36792,39645,49211,22215,26996,52575,22267,30308,110510,38603,71907,46752,18107,28645,34981,11976,23005,19372,5831,13541,9405,2689,6716,384431,854202,190081
43,ŁÓDZKIE,2004,2587702,1233746,1353956,110665,57053,53612,126593,64959,61634,158195,81038,77157,183126,93564,89562,210740,107302,103438,201509,102553,98956,175248,89088,86160,155447,78019,77428,170270,84540,85730,216126,105970,110156,211964,101311,110653,175408,81148,94260,109032,48076,60956,110793,45898,64895,272586,93227,179359,106428,40796,65632,86207,29169,57038,52291,15972,36319,27660,7290,20370,578579,1564788,444335
44,ŚWIĘTOKRZYSKIE,2004,1288693,629045,659648,57895,29683,28212,69090,35277,33813,87601,44656,42945,101334,51836,49498,107466,55616,51850,97160,50632,46528,84255,43431,40824,76176,39141,37035,85738,43469,42269,103936,52624,51312,99680,49297,50383,77543,37525,40018,50912,23168,27744,56213,24010,32203,133694,48680,85014,52487,21375,31112,42402,15503,26899,25093,8004,17089,13712,3798,9914,315920,755122,217651
45,LUBELSKIE,2004,2185156,1061281,1123875,105320,54197,51123,122382,62491,59891,154562,79138,75424,179930,92190,87740,189460,97535,91925,164237,85202,79035,144790,74216,70574,133144,67885,65259,142387,71896,70491,168077,84106,83971,159069,77387,81682,123885,57677,66208,88434,39607,48827,89386,38715,50671,220093,79039,141054,85902,34349,51553,70480,25600,44880,41445,12859,28586,22266,6231,16035,562194,1264656,358306
